abbildung abbildungen
uhr uhren
ulme ulmen
umgebungsbedingung umgebungsbedingungen
umschreibung umschreibungen
umweltanforderung umweltanforderungen
umweltfaktor umweltfaktoren
unabhängig unabhängigen
unfallursache unfallursachen
ungenauigkeit ungenauigkeiten
universität universitäten
unregelmäßigkeit unregelmäßigkeiten
unruhe unruhen
unstimmigkeit unstimmigkeiten
unterart unterarten
untereinheit untereinheiten
unterhaltungssendung unterhaltungssendungen
unterlage unterlagen
unterrichtsstunde unterrichtsstunden
untersuchung untersuchungen
unterteilung unterteilungen
urkunde urkunden
ursache ursachen
variable variablen
variante varianten
variation variationen
varietät varietäten
vasall vasallen
ventilator ventilatoren
veranstaltung veranstaltungen
verbesserung verbesserungen
verbindlichkeit verbindlichkeiten
verbindung verbindungen
verblieben verbliebenen
verbündete verbündeten
verdammte verdammten
verdienstmöglichkeit verdienstmöglichkeiten
vereinbarung vereinbarungen
vereinsfarbe vereinsfarben
verfahrensfrage verfahrensfragen
verfahrensverzögerung verfahrensverzögerungen
verfolgung verfolgungen
verfärbung verfärbungen
verhaftung verhaftungen
verhaltensweise verhaltensweisen
verhandlung verhandlungen
verkehrsader verkehrsadern
verkehrsbelastung verkehrsbelastungen
verkehrsweg verkehrswegen
verknüpfung verknüpfungen
verkäuferin verkäuferinnen
verkündigung verkündigungen
verleihung verleihungen
verletzte verletzten
verletzung verletzungen
verlustrate verlustraten
verlängerung verlängerungen
vermittlung vermittlungen
vermutung vermutungen
vernehmung vernehmungen
verschieden verschiedenen
verschlußzeit verschlusszeiten
verschmutzung verschmutzungen
version versionen
versteifung versteifungen
verstorben verstorbenen
verstärkung verstärkungen
versuchsfahrt versuchsfahrten
verunreinigung verunreinigungen
verwaltung verwaltungen
verwaltungsbeamte verwaltungsbeamten
verwaltungseinheit verwaltungseinheiten
verwaltungsgrenze verwaltungsgrenzen
verwaltungsreform verwaltungsreformen
verwandtschaftsbeziehung verwandtschaftsbeziehungen
verwüstung verwüstungen
verzweigung verzweigungen
verzögerung verzögerungen
veränderung veränderungen
veröffentlichung veröffentlichungen
veteran veteranen
videoaufnahme videoaufnahmen
villa villen
vision visionen
volkswirtschaft volkswirtschaften
volkszählung volkszählungen
voraussage voraussagen
voraussetzung voraussetzungen
vorgesetzte vorgesetzten
vorlage vorlagen
vorlesung vorlesungen
vorname vornamen
vorrichtung vorrichtungen
vorschrift vorschriften
vorsitzende vorsitzenden
vorsorgeuntersuchung vorsorgeuntersuchungen
vorstellung vorstellungen
wachstumsfaktor wachstumsfaktoren
wachstumszahl wachstumszahlen
waffe waffen
waffenlieferung waffenlieferungen
wahl wahlen
wahlbedingung wahlbedingungen
wahlberechtigte wahlberechtigten
wahlmännerstimme wahlmännerstimmen
waise waisen
walache walachen
waldfläche waldflächen
waldwanderung waldwanderungen
wanderung wanderungen
wanderungsbewegung wanderungsbewegungen
wandmalerei wandmalereien
wange wangen
ware waren
warengruppe warengruppen
wartezeit wartezeiten
wassermenge wassermengen
wasserressource wasserressourcen
wasserschlange wasserschlangen
wasserturbine wasserturbinen
wechselwirkung wechselwirkungen
wehrmachtssoldat wehrmachtssoldaten
weinbergterrasse weinbergterrassen
weinprobe weinproben
weise weisen
weiterbildung weiterbildungen
welle wellen
welt welten
weltbestleistung weltbestleistungen
weltkugel weltkugeln
weltmeisterschaft weltmeisterschaften
wendeschleife wendeschleifen
wendung wendungen
werbekampagne werbekampagnen
werkshalle werkshallen
wertung wertungen
westalliierte westalliierten
widrigkeit widrigkeiten
wiese wiesen
wilde wilden
windbö windböen
windung windungen
wirkung wirkungen
wirkungsstätte wirkungsstätten
wirkware wirkwaren
wirtschaftsreform wirtschaftsreformen
woche wochen
wohnbau wohnbauten
wohngruppe wohngruppen
wohnlage wohnlagen
wohnsiedlung wohnsiedlungen
wohnung wohnungen
wohnungsbaugesellschaft wohnungsbaugesellschaften
wolke wolken
wunde wunden
wurzel wurzeln
wählerstimme wählerstimmen
würde würden
zahl zahlen
zahnschmerz zahnschmerzen
zeichnung zeichnungen
zeit zeiten
zeitfrage zeitfragen
zeitschrift zeitschriften
zeitung zeitungen
zelle zellen
zellmembrane zellmembranen
zentrum zentren
zerstörung zerstörungen
zeuge zeugen
zielgruppe zielgruppen
zierpflanze zierpflanzen
zigarette zigaretten
zigarettenfabrikant zigarettenfabrikanten
zinslast zinslasten
zuckung zuckungen
zufahrtsstraße zufahrtsstraßen
zusicherung zusicherungen
zweigstelle zweigstellen
zwischenstufe zwischenstufen
zählung zählungen
ähnlichkeit ähnlichkeiten
ähre ähren
älteste ältesten
änderung änderungen
äußerung äußerungen
öffentliche öffentlichen
örtlichkeit örtlichkeiten
übergangsregel übergangsregeln
überlebende überlebenden
überlegung überlegungen
überlieferung überlieferungen
übrig übrigen
übung übungen
